國家,日期,總確診數,新增確診數,新增死亡數
台灣,2020-01-16,0,0,0
台灣,2020-01-17,0,0,0
台灣,2020-01-18,0,0,0
台灣,2020-01-19,0,0,0
台灣,2020-01-20,0,0,0
台灣,2020-01-21,0,0,0
台灣,2020-01-22,1,0,0
台灣,2020-01-23,1,0,0
台灣,2020-01-24,3,2,0
台灣,2020-01-25,3,0,0
台灣,2020-01-26,4,1,0
台灣,2020-01-27,5,1,0
台灣,2020-01-28,8,3,0
台灣,2020-01-29,8,0,0
台灣,2020-01-30,9,1,0
台灣,2020-01-31,10,1,0
台灣,2020-02-01,10,0,0
台灣,2020-02-02,10,0,0
台灣,2020-02-03,10,0,0
台灣,2020-02-04,11,1,0
台灣,2020-02-05,11,0,0
台灣,2020-02-06,16,5,0
台灣,2020-02-07,16,0,0
台灣,2020-02-08,17,1,0
台灣,2020-02-09,18,1,0
台灣,2020-02-10,18,0,0
台灣,2020-02-11,18,0,0
台灣,2020-02-12,18,0,0
台灣,2020-02-13,18,0,0
台灣,2020-02-14,18,0,0
台灣,2020-02-15,18,0,0
台灣,2020-02-16,20,2,1
台灣,2020-02-17,22,2,0
台灣,2020-02-18,22,0,0
台灣,2020-02-19,23,1,0
台灣,2020-02-20,24,1,0
台灣,2020-02-21,26,2,0
台灣,2020-02-22,26,0,0
台灣,2020-02-23,28,2,0
台灣,2020-02-24,30,2,0
台灣,2020-02-25,31,1,0
台灣,2020-02-26,32,1,0
台灣,2020-02-27,32,0,0
台灣,2020-02-28,34,2,0
台灣,2020-02-29,39,5,0
台灣,2020-03-01,40,1,0
台灣,2020-03-02,41,1,0
台灣,2020-03-03,42,1,0
台灣,2020-03-04,42,0,0
台灣,2020-03-05,44,2,0
台灣,2020-03-06,45,1,0
台灣,2020-03-07,45,0,0
台灣,2020-03-08,45,0,0
台灣,2020-03-09,45,0,0
台灣,2020-03-10,47,2,0
台灣,2020-03-11,48,1,0
台灣,2020-03-12,49,1,0
台灣,2020-03-13,50,1,0
台灣,2020-03-14,53,3,0
台灣,2020-03-15,59,6,0
台灣,2020-03-16,67,8,0
台灣,2020-03-17,77,10,0
台灣,2020-03-18,100,23,0
台灣,2020-03-19,108,8,0
台灣,2020-03-20,135,27,1
台灣,2020-03-21,153,18,0
台灣,2020-03-22,169,16,0
台灣,2020-03-23,195,26,0
台灣,2020-03-24,215,20,0
台灣,2020-03-25,235,20,0
台灣,2020-03-26,252,17,0
台灣,2020-03-27,267,15,0
